time,buyDex,buy,sellDex,sell,spreadPct,gasDAI,netProfitDAI
2025-05-29T03:41:14.654Z,Kyber,2753.812543007639,Uniswap V2,2762.68,0.06,7.34,1.53
2025-05-29T03:41:14.999Z,Kyber,2753.812543007639,SushiSwap,2762.68,0.05,7.61,1.25
2025-05-29T03:41:15.311Z,Kyber,2753.812543007639,ShibaSwap,2762.68,0.03,7.98,0.88
2025-05-29T03:42:50.091Z,Kyber,2753.1258413277715,Uniswap V2,2762.68,0.09,7.00,2.56
2025-05-29T03:42:50.774Z,Kyber,2753.1258413277715,SushiSwap,2762.68,0.08,7.26,2.30
2025-05-29T03:42:52.305Z,Kyber,2753.1258413277715,ShibaSwap,2762.68,0.06,7.77,1.78
2025-05-29T03:44:13.867Z,Kyber,2749.7840811947153,Uniswap V2,2758.01,0.05,6.87,1.36
2025-05-29T03:44:14.280Z,Kyber,2749.7840811947153,SushiSwap,2758.01,0.04,7.13,1.10
2025-05-29T03:44:14.568Z,Kyber,2749.7840811947153,ShibaSwap,2758.01,0.02,7.64,0.59
2025-05-29T03:45:33.004Z,Kyber,2750.903598,Uniswap V2,2758.01,0.03,6.25,0.86
2025-05-29T03:45:33.297Z,Kyber,2750.903598,SushiSwap,2758.01,0.02,6.48,0.63
2025-05-29T03:45:33.586Z,Kyber,2750.903598,ShibaSwap,2758.01,0.01,6.94,0.16
